Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
Oregon,US,44.62806839,-121.17832,6,0,0,6,2020-04-27 2:30:52
Vermont,US,44.60353043,-72.64356694,26,2,0,24,2020-04-27 2:30:52
Maine,US,44.59816444,-68.38401854,9,0,0,9,2020-04-27 2:30:52
New York,US,44.59040891,-74.29926032,14,0,0,14,2020-04-25 0:00:00
Wyoming,US,44.58855102,-104.5697705,5,0,0,5,2020-04-27 2:30:52
Wisconsin,US,44.58307413,-91.99949611,0,0,0,0,2020-04-27 2:30:52
Minnesota,US,44.5796592,-94.23164924,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,44.56676791,-102.7162741,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,44.54747703,-99.48572582,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,44.54708407,-99.00386459,1,0,0,1,2020-04-27 2:30:52
Wyoming,US,44.52405055,-107.9960365,2,0,0,2,2020-04-27 2:30:52
